time,temperature_2m,wind_speed_10m,surface_pressure,wind_speed_90m,pressure_90m
2025-05-23 09:00:00,20.74,5.24,95.41,7.740115374731031,94.41700999962988
2025-05-23 10:00:00,21.45,5.09,95.38,7.518547186523081,94.3897021655152
2025-05-23 11:00:00,22.16,4.64,95.32,6.853842621899233,94.33269218821215
2025-05-23 12:00:00,22.94,4.22,95.22,6.233451694916975,94.23631267378765
2025-05-23 13:00:00,23.64,3.95,95.12,5.834628956142667,94.13965141594994
2025-05-23 14:00:00,23.89,3.99,95.05,5.893713806331453,94.07119309780013
2025-05-23 15:00:00,23.55,4.24,95.04,6.262994120011369,94.06018034246271
2025-05-23 16:00:00,22.35,4.36,95.08,6.440248670577729,94.09580799622609
2025-05-23 17:00:00,19.98,3.92,95.15,5.790315318501077,94.15716190449373
2025-05-23 18:00:00,18.1,3.55,95.22,5.243780454254801,94.22005186534575
2025-05-23 19:00:00,17.18,2.99,95.31,4.4165925516117905,94.30595186106555
2025-05-23 20:00:00,16.62,2.49,95.37,3.6780319242519597,94.3633884587935
2025-05-23 21:00:00,16.15,2.17,95.39,3.205353122741667,94.38155034425112
2025-05-23 22:00:00,15.89,2.31,95.38,3.41215009840242,94.3707538435715
2025-05-23 23:00:00,15.84,2.7,95.36,3.9882273877430885,94.35079181752766
2025-05-24 00:00:00,15.76,3.03,95.32,4.475677401800577,94.31093729148817
2025-05-24 01:00:00,15.59,3.19,95.27,4.7120168025557225,94.26087596100255
2025-05-24 02:00:00,15.56,3.07,95.26,4.534762251989363,94.25087759328198
2025-05-24 03:00:00,15.44,2.66,95.25,3.929142537554302,94.24056619386997
2025-05-24 04:00:00,15.24,2.26,95.25,3.338294035666437,94.23986987135731
2025-05-24 05:00:00,15.25,2.17,95.24,3.205353122741667,94.23001075704737
2025-05-24 06:00:00,15.55,2.29,95.26,3.382607673308027,94.2508428250709
2025-05-24 07:00:00,17.27,3.37,95.28,4.977898628405263,94.27657730652226
2025-05-24 08:00:00,19.39,4.22,95.32,6.233451694916975,94.32339261937605
2025-05-24 09:00:00,20.81,4.59,95.34,6.77998655916325,94.3479735835812
2025-05-24 10:00:00,21.55,4.38,95.33,6.469791095672121,94.34055540909411
2025-05-24 11:00:00,22.34,4.01,95.29,5.923256231425846,94.30360103711844
2025-05-24 12:00:00,23.24,3.53,95.24,5.214238029160408,94.25709678121444
2025-05-24 13:00:00,23.93,3.21,95.18,4.741559227650116,94.19998567125472
2025-05-24 14:00:00,24.27,3.12,95.13,4.608618314725347,94.1516144440258
2025-05-24 15:00:00,23.94,3.2,95.12,4.72678801510292,94.14063625315846
2025-05-24 16:00:00,22.79,3.24,95.16,4.785872865291706,94.17643682146426
2025-05-24 17:00:00,20.46,3.07,95.24,4.534762251989363,94.24783896041525
2025-05-24 18:00:00,18.58,2.91,95.32,4.298422851234218,94.3206400556663
2025-05-24 19:00:00,17.71,2.7,95.4,3.9882273877430885,94.39682537560067
2025-05-24 20:00:00,16.89,2.71,95.45,4.002998600290285,94.44347695912661
2025-05-24 21:00:00,16.08,2.55,95.47,3.766659199535139,94.46046161998702
2025-05-24 22:00:00,15.44,2.33,95.48,3.4416925234968136,94.46812871591291
2025-05-24 23:00:00,14.97,2.21,95.5,3.264437972930454,94.48627457923283
2025-05-25 00:00:00,14.61,2.16,95.48,3.190581910194471,94.46522569166868
2025-05-25 01:00:00,14.37,2.19,95.45,3.2348955478360604,94.43470226452726
2025-05-25 02:00:00,14.29,2.34,95.42,3.4564637360440096,94.40474039368686
2025-05-25 03:00:00,14.2,2.41,95.38,3.5598622238743864,94.36484983434976
2025-05-25 04:00:00,14.14,2.32,95.38,3.4269213109496164,94.36463895456906
2025-05-25 05:00:00,14.09,2.5,95.39,3.692803136799156,94.37435668175634
2025-05-25 06:00:00,14.15,2.63,95.37,3.884828899912712,94.35478055789048
2025-05-25 07:00:00,17.19,3.3,95.38,4.874500140574885,94.37524886671548
2025-05-25 08:00:00,19.58,4.03,95.4,5.9527986565202395,94.40320019757176
2025-05-25 09:00:00,21.58,5.09,95.42,7.518547186523081,94.42972156920932
2025-05-25 10:00:00,22.33,5.99,95.43,8.847956315770778,94.4421185621273
2025-05-25 11:00:00,22.59,6.44,95.41,9.512660880394627,94.42318940860548
2025-05-25 12:00:00,22.68,6.22,95.39,9.1876942043563,94.40369486157766
2025-05-25 13:00:00,22.87,5.82,95.33,8.596845702468435,94.3449446246148
2025-05-25 14:00:00,22.77,5.71,95.25,8.434362364449273,94.26544039874166
2025-05-25 15:00:00,22.16,5.76,95.2,8.508218427185255,94.21393512712753
2025-05-25 16:00:00,20.62,5.76,95.23,8.508218427185255,94.23848063016489
2025-05-25 17:00:00,18.16,4.89,95.3,7.223122935579148,94.29941679188653
2025-05-25 18:00:00,16.63,3.57,95.37,5.273322879349195,94.3634230119249
2025-05-25 19:00:00,16.33,3.11,95.41,4.59384710217815,94.40196277222199
2025-05-25 20:00:00,16.13,3.15,95.43,4.652931952366936,94.42105808931896
2025-05-25 21:00:00,15.71,3.15,95.43,4.652931952366936,94.41959889000935
2025-05-25 22:00:00,15.38,3.12,95.42,4.608618314725347,94.40855541114026
2025-05-25 23:00:00,15.2,3.11,95.39,4.59384710217815,94.37824558099629
2025-05-26 00:00:00,15.11,3.26,95.37,4.815415290386099,94.3581435705874
2025-05-26 01:00:00,15.02,3.38,95.34,4.992669840952459,94.32814762773978
2025-05-26 02:00:00,14.82,3.63,95.32,5.361950154632375,94.30766103281087
2025-05-26 03:00:00,14.53,3.86,95.32,5.701688043217897,94.30664597365738
2025-05-26 04:00:00,14.32,4.08,95.35,6.026654719256222,94.33559049521408
2025-05-26 05:00:00,14.06,4.02,95.39,5.938027443973042,94.37425116141803
2025-05-26 06:00:00,14.1,4.09,95.45,6.041425931803419,94.4337530361051
2025-05-26 07:00:00,16.19,5.12,95.5,7.562860824164671,94.49052627399571
2025-05-26 08:00:00,17.95,5.71,95.53,8.434362364449273,94.5262822032717
2025-05-26 09:00:00,19.66,5.83,95.53,8.611616915015631,94.53211315714469
2025-05-26 10:00:00,20.96,5.76,95.52,8.508218427185255,94.5266049144859
2025-05-26 11:00:00,21.85,5.43,95.49,8.020768413127767,94.49989740490753
2025-05-26 12:00:00,22.61,4.93,95.43,7.282207785767935,94.4430489499065
2025-05-26 13:00:00,23.09,4.7,95.37,6.942469897182414,94.38525935835183
2025-05-26 14:00:00,23.11,4.66,95.3,6.883385046993627,94.31604822689093
2025-05-26 15:00:00,22.67,4.53,95.26,6.691359283880071,94.27500590093359
2025-05-26 16:00:00,21.72,4.28,95.26,6.322078970200155,94.27184900392682
2025-05-26 17:00:00,19.6,3.71,95.3,5.4801198550099475,94.30431273214265
2025-05-26 18:00:00,17.93,3.4,95.35,5.022212266046852,94.3481049610694
2025-05-26 19:00:00,17.25,3.04,95.41,4.490448614347773,94.4051394020986
2025-05-26 20:00:00,16.98,3.15,95.44,4.652931952366936,94.4338929545956
2025-05-26 21:00:00,16.72,3.42,95.45,5.051754691141245,94.44288978892753
2025-05-26 22:00:00,16.25,3.68,95.44,5.4358062173683575,94.43136854735155
2025-05-26 23:00:00,15.85,3.73,95.42,5.50966228010434,94.41019158627716
2025-05-27 00:00:00,15.47,3.72,95.38,5.494891067557145,94.36929299696475
2025-05-27 01:00:00,14.98,3.66,95.32,5.406263792273965,94.30822019545796
2025-05-27 02:00:00,14.68,3.61,95.27,5.332407729537981,94.2577025364541
2025-05-27 03:00:00,14.55,3.89,95.25,5.746001680859487,94.23746016684501
2025-05-27 04:00:00,14.43,3.94,95.28,5.8198577435954695,94.26672087118146
2025-05-27 05:00:00,14.18,4.12,95.33,6.08573956944501,94.31531174858402
2025-05-27 06:00:00,14.13,4.15,95.41,6.1300532070866,94.39428442548474
2025-05-27 07:00:00,16.07,5.17,95.47,7.636716886900654,94.4604268996479
2025-05-27 08:00:00,17.91,6.27,95.51,9.261550267092282,94.50635515633117
2025-05-27 09:00:00,19.63,6.53,95.52,9.645601793319395,94.5221159122208
2025-05-27 10:00:00,20.81,5.87,95.49,8.670701765204418,94.49641281200093
2025-05-27 11:00:00,21.81,4.98,95.43,7.356063848503919,94.44038603716879
2025-05-27 12:00:00,22.8,4.22,95.37,6.233451694916975,94.38429941953518
2025-05-27 13:00:00,23.55,3.81,95.32,5.627831980481914,94.33729366838749
2025-05-27 14:00:00,23.93,3.64,95.25,5.376721367179571,94.2692649210655
2025-05-27 15:00:00,23.9,3.65,95.22,5.391492579726767,94.23947530929232
2025-05-27 16:00:00,23.06,3.72,95.22,5.494891067557145,94.23670911849267
2025-05-27 17:00:00,20.28,3.72,95.26,5.494891067557145,94.26702504128455
2025-05-27 18:00:00,18.35,3.58,95.32,5.288094091896391,94.3198556896805
2025-05-27 19:00:00,17.63,3.4,95.4,5.022212266046852,94.39655083672787
2025-05-27 20:00:00,17.28,3.7,95.45,5.465348642462751,94.44482141306625
2025-05-27 21:00:00,16.64,3.9,95.48,5.760772893406683,94.47229661408296
2025-05-27 22:00:00,16.02,3.82,95.49,5.64260319302911,94.48004173038798
2025-05-27 23:00:00,15.58,3.43,95.47,5.066525903688442,94.45872267254624
2025-05-28 00:00:00,15.19,3.1,95.43,4.579075889630953,94.41778640401571
2025-05-28 01:00:00,14.81,3.02,95.37,4.460906189253381,94.35709502500187
2025-05-28 02:00:00,14.52,3.01,95.3,4.446134976706183,94.28682356415317
2025-05-28 03:00:00,14.31,3.21,95.28,4.741559227650116,94.2663001365993
2025-05-28 04:00:00,14.12,3.39,95.3,5.007441053499655,94.28542033515585
2025-05-28 05:00:00,13.9,3.44,95.35,5.081297116235638,94.3341141870616
2025-05-28 06:00:00,14.03,3.4,95.41,5.022212266046852,94.39393262945018
2025-05-28 07:00:00,16.66,4.42,95.46,6.528875945860908,94.4525768552543
2025-05-28 08:00:00,18.81,5.17,95.47,7.636716886900654,94.4698517852832
2025-05-28 09:00:00,20.48,5.64,95.45,8.330963876618895,94.4557186630967
