time,temperature_2m,wind_speed_10m,wind_speed_100m,surface_pressure,wind_speed_90m,pressure_90m
2024-10-30 00:00:00,17.1,3.555555555555556,5.333333333333333,1008.0,5.251986683447688,997.3782603790247
2024-10-30 01:00:00,17.1,2.694444444444444,3.9166666666666665,1007.2,3.8607408448702856,996.5866903311049
2024-10-30 02:00:00,16.9,2.3333333333333335,3.138888888888889,1006.5,3.1020286881594563,995.8867920569003
2024-10-30 03:00:00,16.6,1.9444444444444444,2.7222222222222223,1006.0,2.686633062897253,995.3811393675791
2024-10-30 04:00:00,16.4,2.0,2.388888888888889,1005.9,2.371094309226404,995.2748997865748
2024-10-30 05:00:00,16.4,2.305555555555556,2.5277777777777777,1005.8,2.517609446542072,995.1759560645561
2024-10-30 06:00:00,16.9,2.055555555555556,2.1944444444444446,1006.3,2.188089237422129,995.6889009904211
2024-10-30 07:00:00,18.9,1.0555555555555556,1.3333333333333333,1007.2,1.3206229192887013,996.6517599046389
2024-10-30 08:00:00,19.6,4.333333333333333,5.5,1008.5,5.4466162610125455,997.9632674749827
2024-10-30 09:00:00,20.9,5.222222222222222,6.222222222222221,1008.6,6.176464731661547,998.1085672249505
2024-10-30 10:00:00,22.0,5.861111111111112,6.833333333333334,1008.4,6.788846884177122,997.9495373087873
2024-10-30 11:00:00,22.6,6.694444444444445,7.916666666666666,1008.0,7.860740844870286,997.5747655660116
2024-10-30 12:00:00,22.6,6.972222222222222,8.36111111111111,1007.6,8.29755904088795,997.178902563803
2024-10-30 13:00:00,22.7,6.888888888888889,8.333333333333334,1006.7,8.267239180301248,996.2917118326183
2024-10-30 14:00:00,22.8,6.611111111111111,8.055555555555555,1005.9,7.989461402523469,995.5034789358335
2024-10-30 15:00:00,22.1,6.472222222222222,7.944444444444445,1005.5,7.877079250007895,995.0831022035477
2024-10-30 16:00:00,21.3,5.861111111111112,7.333333333333333,1005.7,7.265968138896784,995.2528701493475
2024-10-30 17:00:00,20.3,5.694444444444445,7.305555555555555,1006.1,7.231835154096689,995.6132860244871
2024-10-30 18:00:00,19.1,5.611111111111111,7.527777777777778,1006.7,7.440075920869817,996.1641734928074
2024-10-30 19:00:00,18.6,5.583333333333334,7.694444444444444,1007.3,7.597845297705241,996.7399220850888
2024-10-30 20:00:00,17.9,4.805555555555555,6.888888888888889,1008.2,6.793560783554149,997.6052003515418
2024-10-30 21:00:00,18.0,4.25,5.805555555555555,1008.9,5.734377236905616,998.301466592477
2024-10-30 22:00:00,18.1,3.1111111111111107,4.222222222222222,1008.7,4.171380566043695,998.1071866895008
2024-10-30 23:00:00,17.9,2.2222222222222223,3.0,1008.4,2.9644108406750305,997.8030986257635
2024-10-31 00:00:00,17.4,1.6666666666666665,2.138888888888889,1007.8,2.1172811850130144,997.1912749816177
2024-10-31 01:00:00,16.7,1.0,1.0555555555555556,1007.4,1.0530134727466292,996.7700108743852
2024-10-31 02:00:00,16.3,1.1111111111111112,2.0833333333333335,1007.7,2.0388468841771217,997.0522289217618
2024-10-31 03:00:00,16.0,1.3888888888888888,2.75,1008.0,2.687718971181303,997.3380670442181
2024-10-31 04:00:00,16.3,1.9444444444444444,3.333333333333333,1008.4,3.2697812631101733,997.7448324349555
2024-10-31 05:00:00,16.3,2.1666666666666665,3.5277777777777777,1008.5,3.465496748959081,997.8437757939831
2024-10-31 06:00:00,16.3,1.972222222222222,3.083333333333333,1008.8,3.0324916771548054,998.1406058710661
2024-10-31 07:00:00,17.6,1.777777777777778,2.4166666666666665,1009.1,2.387432714364013,998.4848587138808
2024-10-31 08:00:00,19.4,1.611111111111111,1.5277777777777777,1009.4,1.5315909019911673,998.8466923631889
2024-10-31 09:00:00,20.4,2.944444444444444,2.833333333333333,1009.7,2.838417498951186,999.1793291630066
2024-10-31 10:00:00,20.9,3.7777777777777777,3.9722222222222223,1009.9,3.96332493239098,999.3950446564323
2024-10-31 11:00:00,21.4,4.194444444444445,4.666666666666667,1009.9,4.645058962790793,999.4127839562289
2024-10-31 12:00:00,21.8,4.805555555555555,5.5,1009.1,5.46822396488842,998.6352286390899
2024-10-31 13:00:00,22.0,5.138888888888888,5.861111111111112,1008.2,5.8280640345950685,997.7516099907966
2024-10-31 14:00:00,22.1,5.444444444444445,6.361111111111111,1007.2,6.319166744763825,996.7654903425293
2024-10-31 15:00:00,22.1,5.416666666666667,6.333333333333333,1006.4,6.291388966986047,995.9737782771263
2024-10-31 16:00:00,21.4,5.333333333333333,6.416666666666667,1006.0,6.367096051892602,995.5532831567147
2024-10-31 17:00:00,20.4,4.972222222222221,6.305555555555555,1006.1,6.244545568141322,995.6168397255628
2024-10-31 18:00:00,19.4,4.722222222222222,6.111111111111111,1006.6,6.0475590408879505,996.0759664481732
2024-10-31 19:00:00,18.5,4.805555555555555,6.527777777777778,1007.7,6.448973210701059,997.1321254832006
2024-10-31 20:00:00,17.6,5.694444444444445,8.11111111111111,1008.6,8.000530508922813,997.9901184211874
2024-10-31 21:00:00,17.0,6.055555555555555,8.472222222222221,1009.3,8.361641620033923,998.6609155976518
2024-10-31 22:00:00,17.1,5.666666666666666,8.166666666666666,1009.5,8.052272940264977,998.8624542188745
2024-10-31 23:00:00,16.9,5.0,7.361111111111111,1009.2,7.253072591731739,998.5583214543705
2024-11-01 00:00:00,16.6,4.0,5.972222222222222,1008.6,5.881978282505335,997.9536949961632
2024-11-01 01:00:00,16.4,3.194444444444444,5.138888888888888,1008.0,5.049915990576465,997.3527179489687
2024-11-01 02:00:00,16.3,2.7777777777777777,4.166666666666667,1007.5,4.103114596443507,996.8543422037064
2024-11-01 03:00:00,16.3,2.2222222222222223,3.3611111111111107,1007.0,3.3089984135281196,996.3596254085681
2024-11-01 04:00:00,16.2,2.0833333333333335,3.138888888888889,1007.2,3.0905893155192876,996.5538535667797
2024-11-01 05:00:00,16.0,2.25,3.416666666666667,1007.6,3.3632829276792124,996.9422979699941
2024-11-01 06:00:00,16.2,2.75,4.138888888888889,1008.2,4.075336818665729,997.5432835246498
2024-11-01 07:00:00,17.5,3.0,3.7777777777777777,1008.8,3.742188618452808,998.184382694615
2024-11-01 08:00:00,19.2,2.944444444444444,3.5277777777777777,1009.7,3.5010859082840504,999.1363719792115
2024-11-01 09:00:00,20.8,3.7222222222222223,4.138888888888889,1009.9,4.119823267821941,999.3914895925851
2024-11-01 10:00:00,21.6,4.75,5.277777777777778,1009.8,5.253627991092977,999.3209006525419
2024-11-01 11:00:00,22.3,5.305555555555556,5.944444444444444,1009.4,5.9152104921417905,998.949740649121
2024-11-01 12:00:00,22.6,5.666666666666666,6.388888888888888,1008.8,6.355841812372845,998.366491570429
2024-11-01 13:00:00,22.9,5.5,6.222222222222221,1008.0,6.189175145706178,997.5852751327465
2024-11-01 14:00:00,22.5,5.75,6.75,1007.4,6.704242509439325,996.9774652468274
2024-11-01 15:00:00,21.9,6.0,7.166666666666667,1007.1,7.113282927679212,996.6594907780361
2024-11-01 16:00:00,21.2,5.611111111111111,6.833333333333334,1007.2,6.777407511536953,996.7337522898891
2024-11-01 17:00:00,20.1,5.75,7.166666666666667,1007.3,7.101843555039044,996.7936551442169
2024-11-01 18:00:00,18.9,5.638888888888889,7.5,1008.1,7.414840225900965,997.5423343525283
